query,time_secs,cache_misses,rows_returned,first_join_pattern
perm1,0.0959,359101,25,Sequential
perm2,0.0394,483859,25,Random
perm3,0.0398,436427,25,Pseudo-Random
perm4,0.0387,420799,25,Pseudo-Random
perm5,0.0406,489029,25,Random
perm6,0.0388,433474,25,Pseudo-Random
perm7,0.038,442202,25,Pseudo-Random
perm8,0.0415,547665,25,Random
perm9,0.0397,478830,25,Pseudo-Random
perm10,0.0417,544799,25,Random
perm11,0.0399,475655,25,Pseudo-Random
perm12,0.0404,489801,25,Random
perm13,0.0404,446666,25,Pseudo-Random
perm14,0.0395,491381,25,Random
perm15,0.0422,516205,25,Random
perm16,0.0402,471709,25,Pseudo-Random
perm17,0.0429,544120,25,Random
perm18,0.0397,475430,25,Pseudo-Random
perm19,0.042,529944,25,Random
perm20,0.0397,486237,25,Random
perm21,0.0398,480964,25,Random
perm22,0.0417,474395,25,Pseudo-Random
perm23,0.0395,457172,25,Pseudo-Random
perm24,0.0405,461374,25,Pseudo-Random
